?,–,1;
@, ,2;
@,1,2;
@,2,2;
@,_,2;
@,k,1;
@,m,3;
@,p,1;
@,r,2;
@,t,2;
[,",1;
[,,,1;
[,.,26;
[,1,39;
[,2,11;
[,3,7;
[,4,5;
[,5,3;
[,6,5;
[,7,2;
[,8,2;
[,9,1;
[,;,2;
[,=,4;
[,a,21;
[,b,8;
[,c,6;
[,d,16;
[,e,13;
[,f,4;
[,g,9;
[,h,12;
[,i,7;
[,j,2;
[,k,4;
[,l,5;
[,m,11;
[,n,21;
[,o,6;
[,p,15;
[,q,1;
[,r,22;
[,s,21;
[,t,7;
[,u,23;
[,v,8;
[,w,4;
[,z,3;
[,…,87;
[,à,1;
\,>,1;
\,d,5;
\,f,1;
\,l,1;
\,m,1;
\,n,2;
\,r,1;
\,s,1;
], ,236;
],),30;
],,,50;
],-,2;
],.,32;
],1,7;
],2,1;
],:,15;
],=,12;
],?,1;
],[,5;
],a,1;
],b,8;
],c,1;
],d,1;
],e,8;
],f,2;
],h,1;
],k,1;
],l,1;
],m,1;
],n,1;
],o,1;
],p,4;
],r,1;
],s,6;
],t,2;
],u,1;
],v,2;
],w,3;
],‘,1;
],“,5;
^,{,1;
_, ,2;
_,),1;
_,-,1;
_,/,1;
_,0,1;
_,1,3;
_,2,7;
_,4,2;
_,_,2;
_,a,5;
_,b,4;
_,c,1;
_,d,11;
_,e,3;
_,f,6;
_,i,4;
_,j,1;
_,k,5;
_,l,7;
_,m,8;
_,n,2;
_,p,3;
_,r,1;
_,s,9;
_,v,3;
_,w,1;
`,8,2;
`,r,1;
`,s,1;
a, ,20386;
a,!,12;
a,",32;
a,$,16;
a,%,9;
a,&,7;
a,',15;
a,(,19;
a,),968;
a,*,2;
a,+,4;
a,,,2075;
a,-,1335;
a,.,3243;
a,/,59;
a,0,12;
a,1,180;
a,2,100;
a,3,110;
a,4,16;
a,5,9;
a,6,11;
a,7,4;
a,8,1;
a,9,2;
a,:,220;
a,;,122;
a,=,105;
a,?,9;
a,@,4;
a,],3;
a,_,11;
a,a,3972;
a,b,22114;
a,c,31478;
a,d,15592;
a,e,2197;
a,f,15727;
a,g,20134;
a,h,25709;
a,i,9477;
a,j,457;
a,k,6414;
a,l,73225;
a,m,36410;
a,n,113449;
a,o,251;
a,p,7776;
a,q,172;
a,r,69698;
a,s,42188;
a,t,50887;
a,u,78341;
a,v,3590;
a,w,1255;
a,x,1287;
a,y,3273;
a,z,2228;
a,|,1;
a,},1;
a,~,7;
a,…,1;
a,Š,4;
a,‘,1;
a,’,22;
a,“,180;
a,”,5;
a,–,43;
a,š,4;
a,ž,4;
a,³,1;
a,´,1;
a,·,1;
a,»,1;
a,Ä,1;
a,ß,2949;
a,á,2;
a,ä,3;
a,ç,33;
a,é,16;
a,ë,14;
a,í,15;
a,î,7;
a,ï,23;
a,ð,1;
a,ñ,64;
a,ô,22;
a,ö,12;
a,ù,1;
a,ú,11;
a,ü,2;
b, ,7503;
b,!,3;
b,",2;
b,%,6;
b,',10;
b,),459;
b,+,19;
b,,,448;
b,-,361;
b,.,1697;
b,/,36;
b,0,4;
b,1,23;
b,2,27;
b,3,8;
b,4,11;
b,5,4;
b,6,5;
b,7,6;
b,8,5;
b,9,2;
b,:,50;
b,;,18;
b,=,12;
b,?,6;
b,],3;
b,_,1;
b,a,26780;
b,b,1122;
b,c,277;
b,d,615;
b,e,105294;
b,f,575;
b,g,2102;
b,h,1031;
b,i,22304;
b,j,454;
b,k,308;
b,l,12217;
b,m,308;
b,n,3575;
b,o,8346;
b,p,146;
b,q,4;
b,r,14610;
